PRC_CD,PRC_VERS_TYP_ID,PRC_TYP_CD,PRC_STD_CD,PRC_DESC,PLACE_HOLDER1,PLACE_HOLDER2,PLACE_HOLDER3
79818.0,1.0,I,88040.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
41345.0,-1.0,U,53140.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
64431.0,-1.0,U,89543.0,HCV,"","",""
46953.0,1.0,U,41283.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
20330.0,-1.0,U,70834.0,INFECTIOUS DISEASE,"","",""
35704.0,2.0,U,67096.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
48246.0,2.0,C,46153.0,HCV,"","",""
97873.0,1.0,I,78213.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
79258.0,1.0,I,87708.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
92942.0,1.0,U,28829.0,INFECTIOUS DISEASE,"","",""
76512.0,-1.0,I,59504.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
46731.0,-1.0,C,65500.0,INFECTIOUS DISEASE,"","",""
84187.0,-1.0,U,34008.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
40824.0,2.0,C,97234.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
86227.0,-1.0,I,32271.0,HCV,"","",""
76858.0,1.0,C,96486.0,INFECTIOUS DISEASE,"","",""
50100.0,-1.0,U,50465.0,HCV,"","",""
47701.0,2.0,I,82011.0,HCV,"","",""
56222.0,2.0,H,51820.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
49049.0,-1.0,H,76749.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
69860.0,1.0,H,74591.0,INFECTIOUS DISEASE,"","",""
62810.0,2.0,H,23846.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
70997.0,2.0,U,44226.0,HCV,"","",""
71955.0,-1.0,H,81488.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
81870.0,-1.0,I,50339.0,HCV,"","",""
85549.0,-1.0,C,74887.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
46537.0,1.0,C,69160.0,HCV,"","",""
51313.0,2.0,U,87076.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
34358.0,1.0,I,22058.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
92939.0,2.0,U,61654.0,INFECTIOUS DISEASE,"","",""
78179.0,-1.0,U,90003.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
31085.0,-1.0,I,83370.0,HCV,"","",""
81682.0,1.0,H,54944.0,HCV,"","",""
47579.0,-1.0,H,95840.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
42039.0,1.0,H,20270.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
35465.0,1.0,I,52797.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
69429.0,-1.0,U,74828.0,HCV,"","",""
56707.0,2.0,C,61953.0,INFECTIOUS DISEASE,"","",""
98907.0,-1.0,C,60693.0,INFECTIOUS DISEASE,"","",""
99221.0,-1.0,H,75417.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
58475.0,1.0,U,97133.0,HCV,"","",""
26811.0,2.0,C,80300.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
76813.0,1.0,C,58241.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
48565.0,2.0,H,48889.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
74156.0,-1.0,C,76832.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
90078.0,1.0,C,28709.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
33216.0,1.0,C,91742.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
94193.0,1.0,H,53760.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
84539.0,2.0,H,74647.0,INFECTIOUS DISEASE,"","",""
22534.0,2.0,C,42065.0,"SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM","","",""
90316.0,-1.0,C,91263.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
81089.0,1.0,U,97639.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
55999.0,2.0,I,74225.0,PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER,"","",""
